1,이걸문기가,ㅋㅋㅋ  광고를 들으려고  클릭해서 들어온적은  첨이네
2,곽철용,이렇게 내가 광고까지 했는데도 사먹지 않으면 변사체가 된다
3,송현우,내가 유튜브에서 광고를 찾아 들어간 건 처음이네 ㅋㅋㅋ광고 더블로 가!
4,정성훈,아놔 내가 살면서 광고를 클릭해서 볼줄이야 아이언 드래곤성님 화이팅 하십쇼
5,킴데이브,장난삼아 얘기했던게 실제로 이어지네ㅋㅋ
6,메유,고니야 감자튀김 하나 찔러봐라
7,최호영,뒤에 노란정장 김영철 사딸라 와드박습니다.
8,여러분하고싶은거다fuxkin해요,곽철용 이분은 발성이랑 목소리가 개씹사기라 평범한 대사 해도 명대사가 됨  앞으로도 건승하시길
9,Realestate,광고를 클릭해서 본건 처음이다... 이게 내 결론이다
10,LilraKing,원래 햄버거 다른집 먹는데 준일님 버거킹 사랑에 친구 강제 끌고가서 버거킹 먹었습니다 준일님 담광고 나오면 햄버거는 버거킹만 먹을께요 빨리~~~~~ 선한 영향력 한가득 버거킹 기대해요~~~~~~~~~~~
11,이동림,저희 동네 새로 버거킹 생겼는데 자주 갈테니 양준일씨 광고모델로 저기 모냐 브로마이드 그런거 만들어주믄 울 애들 다데리고 계속 갈께요 혹시 계약된분 없다면  양준일씨로🙏🙏
12,미스터굿굿Mr.GoodGood,밈 떴을 때 바로 광고 제작해줬으면 더 좋았을 텐데.. 그래도 지금이라도 볼 수 있어서 흐뭇함 굿굿
13,jeongmin9,진짜 트렌디한 브랜드네 ㅋㅋ
14,남성인권부,"곽철용 이대로 야쿠르트 광고까지 가즈아ㅏ!!""고니야~빨대 한번 찔러봐라."""
15,sunyukim,드디어 버거킹이 이루었도다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 앜ㅋㅋㅋㅋ 역시 버거패티는 묻고 더블로 가야 제맛! 🍔
16,elenakarinanne,시간여행자 양준일님 귀환에 버거킹 참여가 시급합니다！ 과거 버거킹에서 팬미팅을 했다하니 2020년 광고 콘셉트로 딱이네요！패스트푸드 업계 명실상부 트렌드세터 버거킹의 선구안을 기대합니다！
17,ammss11,알바 여자분 사딸라 때랑 같은 사람인듯 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
18,명진,버거킹!! 항상 핫한분 모시고 기발한광고 최고입니다. 이번엔 양준일님 가나요?? 양준일모델이면 매일 버거킹만 먹을겁니다!!
19,NAYEONKWON,내일모레 버거킹 갈거에요. 양준일 님 팬끼리 모임이 있어서요 . 다들 인증하고 있어요 저도 일요일에 인증 가능해여! ㅎㅎcf도 안찍었는데 광고 효과가 어마어마 하지요??  준일오빠 버거킹 cf가쟈~
20,혜니,전설의 곽철용ㅋㅋㅋ드디어 광고도 찍으신건가요ㅋㅋㅋㅋㅋ
21,조문부활,담 광고 양준일루 가즈아~~~~~~~아줌마들 카페모임은 버거킹으루 잡고
22,히든카드연체,역시 갓버킹광고👍🏻 담엔 양준일님이 하셔야죠ㅋㅋ 버거킹에서 몇명이랑 팬미하다가 성공한 버거킹덕후거든요ㅋㅋㅋㅋㅋ
23,정은정,"양준일님이 팬미팅했다는 버거킹 구경하러 홈피,여기까지 와 보네요다음 광고는 양준일님으로~~지금 광고도 멋져요~~"
24,코코리코,1991 시간여행 버거 하나 만들고양준일님 버거킹 광고 갑시다~♡ 준일님 90년대 버거킹 단골♡팬과의 소통 장소도 버거킹♡광고주님들 밀어주세요~♡
25,너그토록아름다운,"양준일님이 어렸을때부터 버거킹 마니아였다는데...  어제팬미팅에서 ""예전에는 팬미팅을 버거킹에서 했어요~""마지막멘트  ""2차로 버거킹?""..양준일을 모델로..."
26,StationStop,0:16 0:19 김영철 이스터에그...?
27,JudyPark,"양준일 님이 좋아 했다는 버거킹. 요즘 안먹었었는데, 이렇게 관심이 간다~~~"
28,통화거래내역,00:1700:19사딸라 김영철씨 깜짝 출현
29,운지민,나올줄 알았다 ㅋㅋㅋㅋㅋㅋㅋ
30,jhcl,버거킹 많이 먹으면 니배커...감추인 뱃살 말을 해줘요.니배커~니혼자 먹지말고~
31,IreneChoi,어이~! 새상품 나오기만해!! 아주 돈쭐내줄테니까!!양준일이랑 2차로 버거킹 갈테니까 그 뭐시기.. 후란치후라이?  서비스알지? 일좀 하자고~ 잉? 양준일 이냥반이 입이 고급이라 버거킹만 먹는다네?? 여러말 않혀~~   내밑에 애들 많으니까 알아서 잘혀라
32,이자영,참~~나😉❤양준일 때문에 버거킹엘 다들어왔네😅다음편 광고는 양준일씨 강력추천~~~~합니다👍👍👍👍👍양준일씨가 팬미팅에서 버거킹 얘길 계속하시더라구요ㅋ그 영상보고햄버거 좋아하지도 않는데 대체 뭐가 그리 좋아서 버거킹 버거킹하나 들어와봤어요😆담 CF는 양준일씨로~~~예~~~❤❤❤그럼 아들 데리고 롯데리아 안가고버거킹만 가겠음😉😉👍👍🍔🍔🍟🍟❤❤
33,이팝나무,2차는 버거킹~주닐오빠💖쟈이버거출시는 언제쯤?
34,Bonggeun,광고보다 일부러 들어옴내일 점심은 햄버거가 ㅋㅋ
35,갸오니,"옛날 옛적에 준일님이 드셨던 버거가 궁금합니다~탑골버거~ 버거킹이 버거""킹""이었던 그때 그 시절~~"
36,매우뢰,다음모델  양준일 강추!!!!
37,2차는버거킹,준일오빠가 팬미팅했던 지점을 찾아주세요~~ 성지순례갈거야아~~
38,SunnSunny,진짜 유튜브 광고 자발적 클릭은 처음이네요ㅋㅋㅋ
39,꾼희,"""Ask and go to the blue"""
