,id,comment,author,likecount,publishedAt
0,UgyggPDCtb5eXGKx-7N4AaABAg,119리믹스 언에듀 ㄷㄷ,튀김아잉,0,2020-01-17T08:50:54.000Z
1,UgzP9gYHq5PnXDXuKYJ4AaABAg,그램그램 램 기다립니다아~~~ ㅎㅎㅎ,random,0,2020-01-17T08:36:06.000Z
2,UgwASG3dAWGAlCBfcNp4AaABAg,"우째 LG는 모터달린 가전이 다른 가전보다 우위에  있다고들 하는데... 아니가부네
잇섭님이 모터없는 TV랑 그램시리즈를 인정하다니",REBUILDING HAM,0,2020-01-17T08:28:06.000Z
3,UgxmguaTZPRg7_9qT_B4AaABAg,"차라리 돈 더 얹어서 프레스티지를 사겠다..
근데 맥북 사운드 인간적으로 너무 압도하는데... 이어폰 안끼고 들어도 차이가 느껴질 정도면..",pneumonoultramicroscopicsilicovolcanoconiosis,0,2020-01-17T08:25:54.000Z
4,Ugz_S4mBvbg7HEbeIdN4AaABAg,QLED는 발광다이오드(LED)가 아니라 백라이트가필요한 LCD라는...,Jiuk Lee,0,2020-01-17T08:22:59.000Z
5,UgwMw7Zs2tnSlFpicAN4AaABAg,페이스북에 무광 블랙 에어팟 잇는데 가성비 리뷰 해주세요,f u,0,2020-01-17T08:22:28.000Z
6,UgxxzynCXrtAhZBIRqp4AaABAg,이온은 핸드폰이랑 동기화가 돼나요?,이수혁,0,2020-01-17T08:22:00.000Z
7,UgymuQ2BvPW-k0ZaTWx4AaABAg,"쉬프트키 진짜 극혐임
저런 노트북 샀다가 블루투스 키보드를 따로 샀다.
잘생각해보시길 저게 제일 큰 단점",유락희,0,2020-01-17T08:17:46.000Z
8,Ugz9EN8A9UWGTphL1BR4AaABAg,형형 그 카카오 이어폰에 이을 BT21무선이어폰 리뷰해줭,갤럭시여덞십,0,2020-01-17T08:16:27.000Z
9,UgzFoBmDkZuscKQCfLB4AaABAg,드디어 나왓네요 맥북2020도 알려주세요 형님맥북사주세여 갇고싶오요 ㅠㅠㅠㅋㅋㅋㅋ,하이올린,0,2020-01-17T07:58:27.000Z
10,UgzffPFrlVwYPVkAVJx4AaABAg,잇섭 특:  사용기 올려준다면서 안올려줌,;;세미콜론,0,2020-01-17T07:30:39.000Z
11,UgzuRIWIYX0edlky-kB4AaABAg,역시 샘송!,TOM HEO,0,2020-01-17T07:18:05.000Z
12,UgwSaIMFGYJH2B-To2F4AaABAg,5252 기다렸다구!!!,김형조,0,2020-01-17T07:15:36.000Z
13,UgwvqxE1ma4w967A5rZ4AaABAg,그램보다 좋은게 없네.. 무겁고 배터리 적고 베젤 두껍고 기타등등..,파브라늄,0,2020-01-17T07:09:46.000Z
14,UgwSRGJQOYKpY6fCp1p4AaABAg,6:01 에 액정이 어디껀지는 확인 어떻게 해요?ㅋㅋ,vincent an,0,2020-01-17T06:48:43.000Z
